Внутренний ID,Время создания заказа,ID мерчанта,Статус,Сумма,Валюта,ID заказа,Тип заказа,Описание заказа
66996325,20.11.17 16:11:18,1397120,processing,"4,05",USD,demo35681260,verification,demo
66996323,20.11.17 16:11:18,1397120,processing,"4,45",USD,demo62534095,verification,demo
66996309,20.11.17 16:11:15,1397120,processing,"5,08",USD,demo53962430,verification,demo
66996307,20.11.17 16:11:14,1397120,processing,"5,92",USD,demo64769479,verification,demo
66996298,20.11.17 16:11:12,1397120,processing,"4,65",USD,demo38457713,verification,demo
66996295,20.11.17 16:11:12,1397120,processing,"4,89",USD,demo38880164,verification,demo
66996290,20.11.17 16:11:11,1397120,processing,"4,4",USD,demo39562929,verification,demo
66996288,20.11.17 16:11:10,1397120,processing,"9,52",USD,demo10826721,verification,demo
66996284,20.11.17 16:11:09,1397120,processing,"4,6",USD,demo69884213,verification,demo
66996282,20.11.17 16:11:09,1397120,processing,"8,6",USD,demo92739265,verification,demo
66996279,20.11.17 16:11:08,1397120,processing,"6,27",USD,demo51976047,verification,demo
66996277,20.11.17 16:11:08,1397120,processing,"1,86",USD,demo40753688,verification,demo
66996268,20.11.17 16:11:06,1397120,processing,"0,86",USD,demo71308712,verification,demo
66996267,20.11.17 16:11:06,1397120,processing,"4,5",USD,demo79872123,verification,demo
66996255,20.11.17 16:11:04,1397120,processing,"9,54",USD,demo85590311,verification,demo
66996252,20.11.17 16:11:03,1397120,processing,"5,85",USD,demo64177765,verification,demo
66996247,20.11.17 16:11:02,1397120,processing,"0,91",USD,demo53937436,verification,demo
66996241,20.11.17 16:11:01,1397120,processing,"8,7",USD,demo52045239,verification,demo
66996236,20.11.17 16:11:00,1397120,processing,"1,93",USD,demo62558362,verification,demo
66996234,20.11.17 16:11:00,1397120,processing,"0,74",USD,demo76270913,verification,demo
66996232,20.11.17 16:10:59,1397120,declined,"0,89",CZK,demo71525611,verification,demo
66996228,20.11.17 16:10:59,1397120,declined,"4,27",CZK,demo77138633,verification,demo
66996223,20.11.17 16:10:58,1397120,declined,"4,52",CZK,demo60861849,verification,demo
66996222,20.11.17 16:10:57,1397120,declined,"6,5",CZK,demo78841394,verification,demo
66996210,20.11.17 16:10:56,1397120,declined,"1,49",CZK,demo37263058,verification,demo
66996207,20.11.17 16:10:55,1397120,declined,"9,71",CZK,demo10943651,verification,demo
66996204,20.11.17 16:10:54,1397120,declined,"6,82",CZK,demo33243134,verification,demo
66996199,20.11.17 16:10:53,1397120,declined,"4,83",CZK,demo01585643,verification,demo
66996197,20.11.17 16:10:53,1397120,declined,"7,24",CZK,demo46603580,verification,demo
66996193,20.11.17 16:10:52,1397120,processing,"1,54",RUB,demo53793971,verification,demo
66996191,20.11.17 16:10:52,1397120,processing,"4,7",RUB,demo97985273,verification,demo
66996187,20.11.17 16:10:51,1397120,processing,"7,56",RUB,demo07583133,verification,demo
66996186,20.11.17 16:10:50,1397120,processing,"3,08",RUB,demo85489219,verification,demo
66996178,20.11.17 16:10:49,1397120,processing,"9,28",RUB,demo83698257,verification,demo
66996177,20.11.17 16:10:48,1397120,processing,"0,76",RUB,demo75890134,verification,demo
66996171,20.11.17 16:10:47,1397120,processing,"3,23",RUB,demo34582378,verification,demo
66996169,20.11.17 16:10:46,1397120,processing,"3,45",RUB,demo48998492,verification,demo
66996165,20.11.17 16:10:46,1397120,processing,"1,81",RUB,demo41578239,verification,demo
66996164,20.11.17 16:10:45,1397120,processing,"3,16",RUB,demo72055430,verification,demo
66996161,20.11.17 16:10:44,1397120,processing,"9,77",EUR,demo76296425,verification,demo
66996157,20.11.17 16:10:44,1397120,processing,"8,15",EUR,demo08612636,verification,demo
66996152,20.11.17 16:10:42,1397120,processing,"7,43",EUR,demo33770336,verification,demo
66996147,20.11.17 16:10:42,1397120,processing,"4,92",EUR,demo78200649,verification,demo
66996141,20.11.17 16:10:40,1397120,processing,"0,59",EUR,demo96013894,verification,demo
66996139,20.11.17 16:10:40,1397120,processing,"5,7",EUR,demo86735199,verification,demo
66996134,20.11.17 16:10:39,1397120,processing,"3,33",EUR,demo93982485,verification,demo
66996128,20.11.17 16:10:38,1397120,processing,"6,98",EUR,demo57350573,verification,demo
66996124,20.11.17 16:10:37,1397120,processing,"8,61",EUR,demo67409009,verification,demo
66996122,20.11.17 16:10:36,1397120,processing,"3,17",EUR,demo11659306,verification,demo
66996116,20.11.17 16:10:36,1397120,reversed,"7,91",RUB,demo64655954,verification,demo
66996113,20.11.17 16:10:35,1397120,reversed,"2,35",RUB,demo37886929,verification,demo
66996107,20.11.17 16:10:34,1397120,reversed,"8,1",RUB,demo97020734,verification,demo
66996105,20.11.17 16:10:33,1397120,reversed,"6,25",RUB,demo57991166,verification,demo
66996096,20.11.17 16:10:32,1397120,reversed,"4,7",RUB,demo52142978,verification,demo
66996091,20.11.17 16:10:31,1397120,reversed,"7,81",RUB,demo12234963,verification,demo
66996085,20.11.17 16:10:30,1397120,reversed,"9,79",RUB,demo95832279,verification,demo
66996076,20.11.17 16:10:29,1397120,reversed,"7,2",RUB,demo38601951,verification,demo
66996074,20.11.17 16:10:29,1397120,reversed,"9,41",RUB,demo27738702,verification,demo
66996071,20.11.17 16:10:28,1397120,reversed,"8,78",UAH,demo80593653,verification,demo
66996070,20.11.17 16:10:27,1397120,reversed,"3,06",UAH,demo54219091,verification,demo
66996064,20.11.17 16:10:26,1397120,reversed,"2,56",UAH,demo97403422,verification,demo
66996061,20.11.17 16:10:25,1397120,reversed,"6,29",UAH,demo17068308,verification,demo
66996053,20.11.17 16:10:24,1397120,reversed,"9,29",UAH,demo89317803,verification,demo
66996050,20.11.17 16:10:23,1397120,reversed,"9,84",UAH,demo04486559,verification,demo
66996042,20.11.17 16:10:22,1397120,reversed,"6,39",UAH,demo12067414,verification,demo
66996038,20.11.17 16:10:21,1397120,reversed,"1,02",UAH,demo93622642,verification,demo
66996036,20.11.17 16:10:21,1397120,reversed,"0,34",UAH,demo18459528,verification,demo
66996032,20.11.17 16:10:20,1397120,reversed,"1,42",GBP,demo67829613,verification,demo
66996031,20.11.17 16:10:19,1397120,reversed,"7,15",GBP,demo25158595,verification,demo
66996024,20.11.17 16:10:18,1397120,reversed,"6,11",GBP,demo81259985,verification,demo
66996023,20.11.17 16:10:17,1397120,reversed,"6,6",GBP,demo06731668,verification,demo
66996015,20.11.17 16:10:16,1397120,reversed,"8,32",GBP,demo68601622,verification,demo
